date,t1,c1,p1,sal,sv
20211003T000451.722Z,9.4603,3.39959,97.311,31.268,1484.918
20211003T000452.714Z,9.4603,3.39959,97.311,31.2679,1484.918
20211003T000453.758Z,9.4602,3.39957,97.311,31.2679,1484.918
20211003T000454.714Z,9.4606,3.39957,97.31,31.2675,1484.919
20211003T000455.730Z,9.4609,3.39958,97.31,31.2673,1484.92
20211003T000456.714Z,9.4609,3.39959,97.311,31.2674,1484.92
20211003T000457.778Z,9.4609,3.39958,97.31,31.2673,1484.92
20211003T000458.729Z,9.4609,3.39959,97.31,31.2674,1484.92
20211003T000459.731Z,9.4609,3.39958,97.311,31.2673,1484.92
20211003T000500.714Z,9.4608,3.39958,97.311,31.2674,1484.92
20211003T000501.755Z,9.4609,3.39961,97.31,31.2676,1484.92
20211003T000502.715Z,9.4608,3.39961,97.311,31.2678,1484.92
20211003T000503.804Z,9.4606,3.39961,97.31,31.2679,1484.919
20211003T000504.714Z,9.4604,3.39963,97.31,31.2682,1484.919
20211003T000505.728Z,9.4604,3.39963,97.309,31.2683,1484.919
20211003T000506.714Z,9.4605,3.39965,97.31,31.2684,1484.919
20211003T000507.730Z,9.4606,3.39964,97.31,31.2682,1484.92
20211003T000508.714Z,9.4608,3.39965,97.31,31.2681,1484.92
20211003T000509.809Z,9.4611,3.39964,97.311,31.2678,1484.921
20211003T000510.713Z,9.4612,3.39964,97.311,31.2677,1484.921
20211003T000511.719Z,9.4611,3.39964,97.311,31.2678,1484.921
20211003T000512.714Z,9.461,3.39963,97.31,31.2678,1484.92
20211003T000513.748Z,9.461,3.39962,97.31,31.2677,1484.92
20211003T000514.714Z,9.4607,3.39961,97.31,31.2678,1484.919
20211003T000515.740Z,9.4603,3.39959,97.31,31.2679,1484.918
20211003T000516.714Z,9.4601,3.39958,97.31,31.2681,1484.917
20211003T000517.753Z,9.4597,3.39955,97.31,31.2681,1484.916
20211003T000518.715Z,9.4597,3.39953,97.31,31.2679,1484.916
20211003T000519.758Z,9.4597,3.39951,97.31,31.2677,1484.916
20211003T000520.714Z,9.4594,3.39949,97.309,31.2677,1484.915
20211003T000521.723Z,9.4594,3.39947,97.31,31.2676,1484.914
20211003T000522.729Z,9.4597,3.39947,97.31,31.2674,1484.915
20211003T000523.734Z,9.4595,3.39947,97.309,31.2674,1484.915
20211003T000524.720Z,9.4593,3.39947,97.309,31.2676,1484.914
20211003T000525.788Z,9.4593,3.39948,97.309,31.2678,1484.914
20211003T000526.714Z,9.4595,3.3995,97.309,31.2678,1484.915
20211003T000527.740Z,9.4595,3.39951,97.309,31.2679,1484.915
20211003T000528.720Z,9.4596,3.39952,97.31,31.2679,1484.915
20211003T000529.790Z,9.4596,3.39953,97.309,31.2679,1484.915
20211003T000530.714Z,9.4596,3.39953,97.31,31.268,1484.916
20211003T000531.753Z,9.4597,3.39953,97.309,31.2679,1484.916
20211003T000532.718Z,9.4599,3.39953,97.31,31.2677,1484.916
20211003T000533.777Z,9.4602,3.39952,97.309,31.2673,1484.917
20211003T000534.714Z,9.4605,3.39951,97.309,31.267,1484.918
20211003T000535.717Z,9.4606,3.39952,97.309,31.2669,1484.918
20211003T000536.714Z,9.4604,3.39953,97.309,31.2672,1484.918
